key,region,district,description,easting,northing,latitude,longitude,url
H429F,香港岛,南区,香港仔海傍道近鱼市场 [H429F],833549,812187,22.24845,114.1505,https://tdcctv.data.one.gov.hk/H429F.JPG
H210F,香港岛,湾仔区,香港仔隧道湾仔入口 [H210F],836525,815094,22.2747,114.17936,https://tdcctv.data.one.gov.hk/H210F.JPG
H421F,香港岛,南区,香港仔隧道香港仔入口 [H421F],836134,812344,22.24986,114.17557,https://tdcctv.data.one.gov.hk/H421F.JPG
H422F2,香港岛,南区,鸭利洲桥道近香港仔警署 [H422F2],834617,812120,22.24784,114.16086,https://tdcctv.data.one.gov.hk/H422F2.JPG
H904F,香港岛,湾仔区,坚拿道天桥近告士打道 [H904F],836731,815614,22.2793944,114.1813669,https://tdcctv.data.one.gov.hk/H904F.JPG
H216F,香港岛,湾仔区,坚拿道天桥近时代广场 [H216F],836735,815604,22.27930409,114.1814057,https://tdcctv.data.one.gov.hk/H216F.JPG
H305F,香港岛,湾仔区,高士威道近兴发街 [H305F],837747,815875,22.28175082,114.1912256,https://tdcctv.data.one.gov.hk/H305F.JPG
H106F,香港岛,中西区,干诺道中近交易广场 [H106F],834091,816342,22.2859674,114.1557495,https://tdcctv.data.one.gov.hk/H106F.JPG
H110F,香港岛,中西区,干诺道中近信德中心 [H110F],833813,816462,22.28705,114.15305,https://tdcctv.data.one.gov.hk/H110F.JPG
H138F,香港岛,中西区,红棉路近香港公园体育馆 [H138F],834409,815392,22.27739,114.15884,https://tdcctv.data.one.gov.hk/H138F.JPG
H207F,香港岛,湾仔区,海底隧道香港入口 [H207F],836788,815823,22.28128179,114.1819201,https://tdcctv.data.one.gov.hk/H207F.JPG
H204F,香港岛,湾仔区,菲林明道近港湾道 [H204F],836018,815741,22.28054134,114.1744485,https://tdcctv.data.one.gov.hk/H204F.JPG
H222F,香港岛,湾仔区,告士打道近新鸿基中心 [H222F],836234,815649,22.27971054,114.1765444,https://tdcctv.data.one.gov.hk/H222F.JPG
H215F,香港岛,湾仔区,告士打道近湾仔交汇处 [H215F],836606,815893,22.28192,114.18015,https://tdcctv.data.one.gov.hk/H215F.JPG
H214F,香港岛,湾仔区,夏悫道近红十字会总部 [H214F],835173,815623,22.27948,114.16624,https://tdcctv.data.one.gov.hk/H214F.JPG
H201F,香港岛,湾仔区,轩尼诗道近军器厂街 [H201F],835405,815441,22.27783195,114.1685006,https://tdcctv.data.one.gov.hk/H201F.JPG
H802F,香港岛,东区,东区走廊近海裕街 [H802F],839884,816907,22.29106727,114.2119641,https://tdcctv.data.one.gov.hk/H802F.JPG
H801F,香港岛,东区,东区走廊近嘉华国际中心 [H801F],839208,817233,22.29401254,114.2054047,https://tdcctv.data.one.gov.hk/H801F.JPG
H803F,香港岛,东区,东区走廊近鲗鱼涌公园 [H803F],840830,816597,22.28826553,114.2211432,https://tdcctv.data.one.gov.hk/H803F.JPG
H307F,香港岛,东区,英皇道近电厂街 [H307F],838164,816813,22.29022115,114.195273,https://tdcctv.data.one.gov.hk/H307F.JPG
H903F,香港岛,湾仔区,摩利臣山道近体育道 [H903F],836678,815209,22.27573701,114.1808526,https://tdcctv.data.one.gov.hk/H903F.JPG
H107F,香港岛,中西区,毕打街 [H107F],834227,815839,22.28142516,114.1570698,https://tdcctv.data.one.gov.hk/H107F.JPG
H130F,香港岛,中西区,薄扶林道近蒲飞路 [H130F],831675,815880,22.28179051,114.1323068,https://tdcctv.data.one.gov.hk/H130F.JPG
H132F2,香港岛,中西区,薄扶林道近士美菲路 [H132F2],831517,815420,22.27763,114.13078,https://tdcctv.data.one.gov.hk/H132F2.JPG
H109F,香港岛,中西区,皇后大道中近花园道 [H109F],834701,815662,22.27982723,114.1616694,https://tdcctv.data.one.gov.hk/H109F.JPG
H108F,香港岛,中西区,皇后大道中近雪厂街 [H108F],834287,815722,22.28036864,114.1576522,https://tdcctv.data.one.gov.hk/H108F.JPG
H209F,香港岛,湾仔区,皇后大道东近司徒拔道 [H209F],836422,815132,22.27504169,114.1783686,https://tdcctv.data.one.gov.hk/H209F.JPG
H422F1,香港岛,南区,黄竹坑道近香港仔工业学校 [H422F1],834642,812169,22.24828309,114.1611004,https://tdcctv.data.one.gov.hk/H422F1.JPG
